Running Brodnik (C++) Stack Test...
AC - T6_0_push_random_then_pop | Wall: 4.854247s | CPU User: 0.634996s | CPU Sys: 0.184057s | Heap: 5570544B | Stack: 880B
AC - T6_0_push_then_random | Wall: 5.556467s | CPU User: 0.635545s | CPU Sys: 0.286443s | Heap: 6238192B | Stack: 880B
AC - T6_0_random_then_pop | Wall: 4.081471s | CPU User: 0.480299s | CPU Sys: 0.214601s | Heap: 4238320B | Stack: 880B
AC - T7_0 | Wall: 48.894129s | CPU User: 6.896569s | CPU Sys: 2.127665s | Heap: 41396720B | Stack: 816B
AC - T7_0_push_random_then_pop | Wall: 48.378925s | CPU User: 5.998575s | CPU Sys: 2.176566s | Heap: 54724080B | Stack: 864B
AC - T7_0_push_then_random | Wall: 54.749505s | CPU User: 6.835454s | CPU Sys: 2.476204s | Heap: 62693360B | Stack: 864B
AC - T7_0_random_then_pop | Wall: 40.572068s | CPU User: 5.072130s | CPU Sys: 1.908133s | Heap: 41382896B | Stack: 864B
Running STL Stack Vector (C++) Stack Test...
AC - T1_0 | Wall: 0.008072s | CPU User: 0.001417s | CPU Sys: 0.000000s | Heap: 77376B | Stack: 7736B
AC - T1_0_push_random_then_pop | Wall: 0.008264s | CPU User: 0.001347s | CPU Sys: 0.000000s | Heap: 77376B | Stack: 7736B
AC - T1_0_push_then_random | Wall: 0.008118s | CPU User: 0.001302s | CPU Sys: 0.000000s | Heap: 77440B | Stack: 7736B
AC - T1_0_random_then_pop | Wall: 0.008194s | CPU User: 0.001329s | CPU Sys: 0.000000s | Heap: 77376B | Stack: 7736B
AC - T2_0 | Wall: 0.008589s | CPU User: 0.001453s | CPU Sys: 0.000000s | Heap: 77824B | Stack: 7736B
AC - T2_0_push_random_then_pop | Wall: 0.008444s | CPU User: 0.001521s | CPU Sys: 0.000000s | Heap: 78336B | Stack: 7736B
AC - T2_0_push_then_random | Wall: 0.008532s | CPU User: 0.001428s | CPU Sys: 0.000000s | Heap: 78336B | Stack: 7736B
AC - T2_0_random_then_pop | Wall: 0.008735s | CPU User: 0.001359s | CPU Sys: 0.000000s | Heap: 77824B | Stack: 7736B
AC - T3_0 | Wall: 0.012832s | CPU User: 0.002120s | CPU Sys: 0.000000s | Heap: 81408B | Stack: 2384B
AC - T3_0_push_random_then_pop | Wall: 0.012810s | CPU User: 0.002144s | CPU Sys: 0.000000s | Heap: 85504B | Stack: 2384B
AC - T3_0_push_then_random | Wall: 0.013409s | CPU User: 0.002268s | CPU Sys: 0.000000s | Heap: 85504B | Stack: 2384B
AC - T3_0_random_then_pop | Wall: 0.012154s | CPU User: 0.002007s | CPU Sys: 0.000000s | Heap: 85504B | Stack: 2696B
AC - T4_0 | Wall: 0.054872s | CPU User: 0.009327s | CPU Sys: 0.000000s | Heap: 171520B | Stack: 1864B
AC - T4_0_push_random_then_pop | Wall: 0.055894s | CPU User: 0.009337s | CPU Sys: 0.000000s | Heap: 171520B | Stack: 1864B
AC - T4_0_push_then_random | Wall: 0.063472s | CPU User: 0.011159s | CPU Sys: 0.000000s | Heap: 171520B | Stack: 1864B
AC - T4_0_random_then_pop | Wall: 0.048091s | CPU User: 0.000000s | CPU Sys: 0.008217s | Heap: 171520B | Stack: 1864B
AC - T5_0 | Wall: 0.481244s | CPU User: 0.054193s | CPU Sys: 0.027096s | Heap: 859648B | Stack: 736B
AC - T5_0_push_random_then_pop | Wall: 0.482091s | CPU User: 0.069741s | CPU Sys: 0.011623s | Heap: 1646080B | Stack: 720B
AC - T5_0_push_then_random | Wall: 0.548759s | CPU User: 0.062039s | CPU Sys: 0.031019s | Heap: 1646080B | Stack: 736B
AC - T5_0_random_then_pop | Wall: 0.417256s | CPU User: 0.043387s | CPU Sys: 0.026033s | Heap: 859648B | Stack: 720B
AC - T6_0 | Wall: 4.752017s | CPU User: 0.670210s | CPU Sys: 0.134042s | Heap: 6364672B | Stack: 720B
AC - T6_0_push_random_then_pop | Wall: 4.816105s | CPU User: 0.548920s | CPU Sys: 0.253348s | Heap: 12656128B | Stack: 720B
AC - T6_0_push_then_random | Wall: 5.372020s | CPU User: 0.653026s | CPU Sys: 0.265292s | Heap: 12656128B | Stack: 720B
AC - T6_0_random_then_pop | Wall: 4.062293s | CPU User: 0.532471s | CPU Sys: 0.141992s | Heap: 6364672B | Stack: 720B
AC - T7_0 | Wall: 46.474265s | CPU User: 5.875512s | CPU Sys: 2.174326s | Heap: 100736512B | Stack: 720B
AC - T7_0_push_random_then_pop | Wall: 50.426643s | CPU User: 6.359749s | CPU Sys: 2.669651s | Heap: 100736512B | Stack: 736B
AC - T7_0_push_then_random | Wall: 55.526862s | CPU User: 6.518368s | CPU Sys: 2.566054s | Heap: 100736512B | Stack: 736B
AC - T7_0_random_then_pop | Wall: 41.099446s | CPU User: 4.958535s | CPU Sys: 1.948769s | Heap: 100736512B | Stack: 736B
Running STL Stack List (C++) Stack Test...
AC - T1_0 | Wall: 0.008642s | CPU User: 0.001386s | CPU Sys: 0.000000s | Heap: 77312B | Stack: 7736B
AC - T1_0_push_random_then_pop | Wall: 0.007587s | CPU User: 0.001311s | CPU Sys: 0.000000s | Heap: 77312B | Stack: 7736B
AC - T1_0_push_then_random | Wall: 0.007443s | CPU User: 0.001303s | CPU Sys: 0.000000s | Heap: 77312B | Stack: 7736B
AC - T1_0_random_then_pop | Wall: 0.007579s | CPU User: 0.001312s | CPU Sys: 0.000000s | Heap: 77312B | Stack: 7736B
AC - T2_0 | Wall: 0.007836s | CPU User: 0.001396s | CPU Sys: 0.000000s | Heap: 77312B | Stack: 7736B
AC - T2_0_push_random_then_pop | Wall: 0.008449s | CPU User: 0.001421s | CPU Sys: 0.000000s | Heap: 76384B | Stack: 7736B
AC - T2_0_push_then_random | Wall: 0.007961s | CPU User: 0.001399s | CPU Sys: 0.000000s | Heap: 77312B | Stack: 7736B
AC - T2_0_random_then_pop | Wall: 0.007777s | CPU User: 0.001380s | CPU Sys: 0.000000s | Heap: 77312B | Stack: 7736B
AC - T3_0 | Wall: 0.012035s | CPU User: 0.002270s | CPU Sys: 0.000000s | Heap: 97576B | Stack: 1960B
AC - T3_0_push_random_then_pop | Wall: 0.012460s | CPU User: 0.002299s | CPU Sys: 0.000000s | Heap: 105496B | Stack: 1960B
AC - T3_0_push_then_random | Wall: 0.012468s | CPU User: 0.002396s | CPU Sys: 0.000000s | Heap: 109672B | Stack: 1960B
AC - T3_0_random_then_pop | Wall: 0.011808s | CPU User: 0.002188s | CPU Sys: 0.000000s | Heap: 98488B | Stack: 1960B
AC - T4_0 | Wall: 0.055007s | CPU User: 0.010957s | CPU Sys: 0.000000s | Heap: 314416B | Stack: 1960B
AC - T4_0_push_random_then_pop | Wall: 0.054434s | CPU User: 0.005429s | CPU Sys: 0.005428s | Heap: 393904B | Stack: 1960B
AC - T4_0_push_then_random | Wall: 0.060787s | CPU User: 0.012497s | CPU Sys: 0.000000s | Heap: 434848B | Stack: 1960B
AC - T4_0_random_then_pop | Wall: 0.047655s | CPU User: 0.000000s | CPU Sys: 0.009706s | Heap: 313264B | Stack: 1960B
AC - T5_0 | Wall: 0.486875s | CPU User: 0.093765s | CPU Sys: 0.015628s | Heap: 2474896B | Stack: 752B
AC - T5_0_push_random_then_pop | Wall: 0.477068s | CPU User: 0.087018s | CPU Sys: 0.012431s | Heap: 3280960B | Stack: 752B
