Running Brodnik (C++) Stack Test...
AC - T7_push_then_random | Wall: 2.550000s | CPU User: 2.330000s | CPU Sys: 0.220000s | Max Memory: 61865984B
AC - T4_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1835008B
AC - T3_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1703936B
AC - T5_random | Wall: 0.020000s | CPU User: 0.020000s | CPU Sys: 0.000000s | Max Memory: 2228224B
AC - T2_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1703936B
AC - T3_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1703936B
AC - T6_push_then_random | Wall: 0.220000s | CPU User: 0.200000s | CPU Sys: 0.020000s | Max Memory: 7733248B
AC - T9_push_then_random | Wall: 221.350000s | CPU User: 208.760000s | CPU Sys: 12.590000s | Max Memory: 6003429376B
AC - T1_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1703936B
AC - T6_random | Wall: 0.320000s | CPU User: 0.310000s | CPU Sys: 0.010000s | Max Memory: 5636096B
AC - T8_push_then_random | Wall: 25.380000s | CPU User: 23.520000s | CPU Sys: 1.860000s | Max Memory: 602275840B
AC - T2_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1703936B
AC - T7_push_random_then_pop | Wall: 3.090000s | CPU User: 2.870000s | CPU Sys: 0.220000s | Max Memory: 55181312B
AC - T2_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1703936B
AC - T2_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1703936B
AC - T6_push_random_then_pop | Wall: 0.310000s | CPU User: 0.300000s | CPU Sys: 0.010000s | Max Memory: 7077888B
AC - T8_random_then_pop | Wall: 20.540000s | CPU User: 19.400000s | CPU Sys: 1.140000s | Max Memory: 402128896B
AC - T5_push_random_then_pop | Wall: 0.030000s | CPU User: 0.030000s | CPU Sys: 0.000000s | Max Memory: 2359296B
AC - T8_push_random_then_pop | Wall: 25.110000s | CPU User: 23.480000s | CPU Sys: 1.630000s | Max Memory: 535560192B
AC - T7_random_then_pop | Wall: 2.350000s | CPU User: 2.190000s | CPU Sys: 0.160000s | Max Memory: 41811968B
AC - T5_random_then_pop | Wall: 0.030000s | CPU User: 0.030000s | CPU Sys: 0.000000s | Max Memory: 2097152B
AC - T1_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1703936B
AC - T9_random_then_pop | Wall: 197.530000s | CPU User: 187.540000s | CPU Sys: 9.990000s | Max Memory: 4003237888B
AC - T1_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1703936B
AC - T3_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1703936B
AC - T3_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1703936B
AC - T9_push_random_then_pop | Wall: 211.730000s | CPU User: 199.990000s | CPU Sys: 11.740000s | Max Memory: 5336707072B
AC - T6_random_then_pop | Wall: 0.310000s | CPU User: 0.290000s | CPU Sys: 0.020000s | Max Memory: 5636096B
AC - T4_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1835008B
AC - T4_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1835008B
AC - T4_push_then_pop | Wall: 0.010000s | CPU User: 0.010000s | CPU Sys: 0.000000s | Max Memory: 1835008B
AC - T3_push_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1703936B
AC - T7_push_then_pop | Wall: 7.650000s | CPU User: 7.190000s | CPU Sys: 0.460000s | Max Memory: 51118080B
AC - T1_push_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1703936B
AC - T6_push_then_pop | Wall: 0.870000s | CPU User: 0.820000s | CPU Sys: 0.050000s | Max Memory: 10485760B
AC - T2_push_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 1703936B
AC - T5_push_then_pop | Wall: 0.110000s | CPU User: 0.110000s | CPU Sys: 0.000000s | Max Memory: 2883584B
AC - T9_push_then_pop | Wall: 329.470000s | CPU User: 311.880000s | CPU Sys: 17.590000s | Max Memory: 6456827904B
Running STL Stack Deque (C++) Stack Test...
AC - T7_random | Wall: 7.220000s | CPU User: 7.100000s | CPU Sys: 0.120000s | Max Memory: 45481984B
AC - T4_random | Wall: 0.010000s | CPU User: 0.010000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T5_push_then_random | Wall: 0.110000s | CPU User: 0.110000s | CPU Sys: 0.000000s | Max Memory: 4587520B
AC - T1_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T8_random | Wall: 65.620000s | CPU User: 64.630000s | CPU Sys: 0.990000s | Max Memory: 422359040B
AC - T9_random | Wall: 651.150000s | CPU User: 640.590000s | CPU Sys: 10.560000s | Max Memory: 4191068160B
AC - T7_push_then_random | Wall: 7.440000s | CPU User: 7.280000s | CPU Sys: 0.160000s | Max Memory: 66367488B
AC - T4_push_then_random | Wall: 0.010000s | CPU User: 0.010000s | CPU Sys: 0.000000s | Max Memory: 4063232B
