Running Brodnik (C++) Stack Test...
AC - T8_push_random_then_pop | Wall: 75.690722s | CPU User: 71.958969s | CPU Sys: 1.809959s | Max Memory: 1076969472B
AC - T2_push_random_then_pop | Wall: 0.036874s | CPU User: 0.002314s | CPU Sys: 0.002314s | Max Memory: 2490368B
AC - T1_push_random_then_pop | Wall: 0.005673s | CPU User: 0.001041s | CPU Sys: 0.003122s | Max Memory: 1703936B
AC - T4_push_random_then_pop | Wall: 0.076435s | CPU User: 0.019918s | CPU Sys: 0.002846s | Max Memory: 3538944B
AC - T5_push_random_then_pop | Wall: 0.166539s | CPU User: 0.118871s | CPU Sys: 0.004953s | Max Memory: 4411392B
AC - T7_push_random_then_pop | Wall: 8.411081s | CPU User: 7.964408s | CPU Sys: 0.198044s | Max Memory: 70078464B
AC - T3_push_random_then_pop | Wall: 0.021689s | CPU User: 0.001483s | CPU Sys: 0.001483s | Max Memory: 3276800B
AC - T6_push_random_then_pop | Wall: 1.210034s | CPU User: 1.122278s | CPU Sys: 0.029011s | Max Memory: 10702848B
AC - T4_push_then_pop | Wall: 0.011770s | CPU User: 0.010151s | CPU Sys: 0.001015s | Max Memory: 3407872B
AC - T3_push_then_pop | Wall: 0.003470s | CPU User: 0.001899s | CPU Sys: 0.000950s | Max Memory: 3407872B
AC - T7_push_then_pop | Wall: 6.371120s | CPU User: 6.276645s | CPU Sys: 0.093007s | Max Memory: 70340608B
AC - T1_push_then_pop | Wall: 0.001867s | CPU User: 0.001385s | CPU Sys: 0.000000s | Max Memory: 2228224B
AC - T6_push_then_pop | Wall: 0.910108s | CPU User: 0.898599s | CPU Sys: 0.010995s | Max Memory: 7426048B
AC - T2_push_then_pop | Wall: 0.004775s | CPU User: 0.000000s | CPU Sys: 0.004398s | Max Memory: 655360B
AC - T5_push_then_pop | Wall: 0.097248s | CPU User: 0.095885s | CPU Sys: 0.000998s | Max Memory: 4018176B
AC - T8_push_then_pop | Wall: 57.999540s | CPU User: 57.396650s | CPU Sys: 0.598975s | Max Memory: 539443200B
AC - T9_push_then_pop | Wall: 576.334439s | CPU User: 570.128450s | CPU Sys: 6.175798s | Max Memory: 4297674752B
Running STL Stack List (C++) Stack Test...
AC - T5_random | Wall: 0.220162s | CPU User: 0.165299s | CPU Sys: 0.011021s | Max Memory: 9961472B
AC - T7_random_then_pop | Wall: 8.167589s | CPU User: 7.828256s | CPU Sys: 0.286989s | Max Memory: 483524608B
AC - T2_random | Wall: 0.029553s | CPU User: 0.004705s | CPU Sys: 0.000000s | Max Memory: 3407872B
AC - T2_random_then_pop | Wall: 0.018010s | CPU User: 0.001097s | CPU Sys: 0.003291s | Max Memory: 3014656B
AC - T8_random | Wall: 106.906112s | CPU User: 102.713330s | CPU Sys: 3.830918s | Max Memory: 6403522560B
AC - T3_random | Wall: 0.019124s | CPU User: 0.003266s | CPU Sys: 0.000000s | Max Memory: 3670016B
AC - T8_random_then_pop | Wall: 83.175486s | CPU User: 79.069438s | CPU Sys: 3.052973s | Max Memory: 4803395584B
AC - T5_push_then_random | Wall: 0.177706s | CPU User: 0.167951s | CPU Sys: 0.006998s | Max Memory: 10223616B
AC - T3_random_then_pop | Wall: 0.006060s | CPU User: 0.001886s | CPU Sys: 0.001887s | Max Memory: 3276800B
AC - T5_random_then_pop | Wall: 0.244608s | CPU User: 0.132390s | CPU Sys: 0.009027s | Max Memory: 8257536B
AC - T3_push_then_random | Wall: 0.068447s | CPU User: 0.005293s | CPU Sys: 0.003175s | Max Memory: 3407872B
AC - T2_push_then_random | Wall: 0.017733s | CPU User: 0.004794s | CPU Sys: 0.000000s | Max Memory: 2490368B
AC - T1_random_then_pop | Wall: 0.005853s | CPU User: 0.004021s | CPU Sys: 0.000000s | Max Memory: 2621440B
AC - T4_random | Wall: 0.054731s | CPU User: 0.025529s | CPU Sys: 0.002220s | Max Memory: 3932160B
AC - T6_random | Wall: 1.211936s | CPU User: 1.063131s | CPU Sys: 0.032938s | Max Memory: 67371008B
AC - T4_random_then_pop | Wall: 0.067212s | CPU User: 0.021766s | CPU Sys: 0.002073s | Max Memory: 3801088B
AC - T1_random | Wall: 0.003193s | CPU User: 0.000000s | CPU Sys: 0.001354s | Max Memory: 2359296B
AC - T7_push_then_random | Wall: 10.945983s | CPU User: 10.190512s | CPU Sys: 0.378123s | Max Memory: 643432448B
AC - T6_random_then_pop | Wall: 1.036229s | CPU User: 0.821421s | CPU Sys: 0.048086s | Max Memory: 51511296B
