Running Brodnik (C++) Stack Test...
AC - T8_random_then_pop | Wall: 21.823706s | CPU User: 21.175072s | CPU Sys: 0.645988s | Max Memory: 602275840B
AC - T5_push_random_then_pop | Wall: 0.024628s | CPU User: 0.020136s | CPU Sys: 0.004027s | Max Memory: 2359296B
AC - T4_push_then_random | Wall: 0.011658s | CPU User: 0.008480s | CPU Sys: 0.002827s | Max Memory: 1703936B
AC - T3_random | Wall: 0.001596s | CPU User: 0.001213s | CPU Sys: 0.000000s | Max Memory: 655360B
AC - T8_push_random_then_pop | Wall: 24.167613s | CPU User: 23.428733s | CPU Sys: 0.734878s | Max Memory: 668991488B
AC - T7_random_then_pop | Wall: 2.161029s | CPU User: 2.096576s | CPU Sys: 0.062994s | Max Memory: 61865984B
AC - T3_push_then_pop | Wall: 0.003370s | CPU User: 0.000969s | CPU Sys: 0.001938s | Max Memory: 1572864B
AC - T7_push_then_pop | Wall: 1.913201s | CPU User: 1.860099s | CPU Sys: 0.051977s | Max Memory: 41811968B
AC - T1_push_then_pop | Wall: 0.002318s | CPU User: 0.000954s | CPU Sys: 0.000954s | Max Memory: 131072B
AC - T5_random | Wall: 0.051846s | CPU User: 0.049318s | CPU Sys: 0.001972s | Max Memory: 2490368B
AC - T6_push_then_pop | Wall: 0.309168s | CPU User: 0.300378s | CPU Sys: 0.008010s | Max Memory: 5636096B
AC - T5_random_then_pop | Wall: 0.039729s | CPU User: 0.039155s | CPU Sys: 0.000000s | Max Memory: 2228224B
AC - T1_push_random_then_pop | Wall: 0.002241s | CPU User: 0.000000s | CPU Sys: 0.001701s | Max Memory: 1572864B
AC - T2_push_then_random | Wall: 0.002049s | CPU User: 0.001758s | CPU Sys: 0.000000s | Max Memory: 131072B
AC - T1_random_then_pop | Wall: 0.001891s | CPU User: 0.001580s | CPU Sys: 0.000000s | Max Memory: 1048576B
AC - T3_push_then_random | Wall: 0.003007s | CPU User: 0.001347s | CPU Sys: 0.001348s | Max Memory: 1572864B
AC - T6_push_then_random | Wall: 0.440755s | CPU User: 0.419701s | CPU Sys: 0.019938s | Max Memory: 9699328B
AC - T2_push_then_pop | Wall: 0.002211s | CPU User: 0.000000s | CPU Sys: 0.001802s | Max Memory: 131072B
AC - T3_random_then_pop | Wall: 0.002948s | CPU User: 0.001316s | CPU Sys: 0.001316s | Max Memory: 1572864B
AC - T1_push_then_random | Wall: 0.001530s | CPU User: 0.001257s | CPU Sys: 0.000000s | Max Memory: 131072B
AC - T3_push_random_then_pop | Wall: 0.001585s | CPU User: 0.001289s | CPU Sys: 0.000000s | Max Memory: 131072B
AC - T6_random_then_pop | Wall: 0.339696s | CPU User: 0.325202s | CPU Sys: 0.014009s | Max Memory: 7733248B
